Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-30T06:12:23.570Z","","","Included","claude-4.5-opus-high-thinking","No","3265","8","50251","238","53762","Included"
"2026-01-30T06:09:17.194Z","","","Included","claude-4.5-opus-high-thinking","No","35086","62","343398","5947","384493","Included"
"2026-01-19T16:45:56.383Z","","","Included","auto","No","5166","0","409088","917","415171","Included"
"2026-01-19T16:35:53.083Z","","","Included","auto","No","128346","0","271872","752","400970","Included"
"2026-01-19T16:29:06.717Z","","","Included","claude-4.5-opus-high-thinking","No","279044","1834","1201125","8979","1490982","Included"
"2026-01-19T16:20:48.690Z","","","Included","claude-4.5-opus-high-thinking","No","131527","1460","12707","1347","147041","Included"
"2026-01-19T16:14:35.740Z","","","Included","claude-4.5-opus-high-thinking","No","3984","580","562338","1091","567993","Included"
"2026-01-19T16:04:43.925Z","","","Included","claude-4.5-opus-high-thinking","No","127128","3065","2392593","19488","2542274","Included"
"2026-01-19T16:01:31.762Z","","","Included","claude-4.5-opus-high-thinking","No","94705","1864","320116","3459","420144","Included"
"2026-01-19T15:58:13.461Z","","","Included","claude-4.5-opus-high-thinking","No","83903","660","11656","1387","97606","Included"
"2026-01-19T14:27:49.921Z","","","Included","claude-4.5-opus-high-thinking","No","82402","687","686054","3453","772596","Included"
"2026-01-19T10:49:44.337Z","","","Included","claude-4.5-opus-high-thinking","No","36298","602","45269","1689","83858","Included"
"2026-01-17T20:10:06.507Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","833929","1305856","22789","2162574","Included"
"2026-01-17T20:08:45.921Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","81746","132224","506","214476","Included"
"2026-01-17T20:07:21.386Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","272325","211584","1731","485640","Included"
"2026-01-17T20:03:18.213Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","237586","211840","5415","454841","Included"
"2026-01-17T19:59:55.324Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","109921","176256","2174","288351","Included"
"2026-01-17T19:53:25.838Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","588194","250880","18464","857538","Included"
"2026-01-17T19:51:10.822Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","193153","103936","3914","301003","Included"
"2026-01-17T15:09:36.881Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","182160","384640","4292","571092","Included"
"2026-01-17T15:00:34.804Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","130792","227712","218","358722","Included"
"2026-01-17T14:48:04.753Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","912201","819968","11045","1743214","Included"
"2026-01-17T14:22:19.429Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","1906690","2859008","49017","4814715","Included"
"2026-01-17T14:18:22.597Z","","","Included","gpt-5.2-codex-xhigh-fast","No","0","160244","213504","5883","379631","Included"
"2026-01-09T06:39:59.234Z","","","Included","claude-4.5-opus-high-thinking","No","22954","26","82796","1920","107696","Included"
"2026-01-08T06:48:29.984Z","","","Included","claude-4.5-opus-high-thinking","No","36777","38","143937","11098","191850","Included"
"2026-01-06T09:36:01.063Z","","","Errored, No Charge","gemini-3-pro-preview","No","0","6803","123930","942","131675","-"
"2026-01-06T09:34:24.996Z","","","Errored, No Charge","gemini-3-pro-preview","No","0","6805","123930","566","131301","-"
"2026-01-06T09:32:00.811Z","","","Errored, No Charge","gemini-3-pro-preview","No","0","148528","116184","3903","268615","-"
"2026-01-06T09:23:51.710Z","","","Included","gemini-3-pro-preview","No","0","272830","617237","5291","895358","Included"
"2026-01-06T09:08:40.674Z","","","Included","gemini-3-pro-preview","No","0","5095","233822","2509","241426","Included"
